st_perimeter,"{geog,use_spheroid}",701,,,701
_st_pointoutside,,90480,,,90480
_st_covers,,16,,,16
st_covers,,16,,,16
st_covers,,16,,,16
st_coveredby,,16,,,16
st_coveredby,,16,,,16
st_segmentize,"{geog,max_segment_length}",90480,,,90480
st_intersects,,16,,,16
st_intersects,,16,,,16
_st_bestsrid,,23,,,23
_st_bestsrid,,23,,,23
st_buffer,,90480,,,90480
st_buffer,,90480,,,90480
st_buffer,,90480,,,90480
st_buffer,,89860,,,89860
st_buffer,,89860,,,89860
st_buffer,,89860,,,89860
st_intersection,,90480,,,90480
st_intersection,,89860,,,89860
st_asbinary,,17,,,17
st_asbinary,,17,,,17
st_asewkt,,25,,,25
st_asewkt,,25,,,25
geometrytype,,25,,,25
st_summary,,25,,,25
st_geohash,"{geog,maxchars}",25,,,25
st_srid,{geog},23,,,23
st_setsrid,"{geog,srid}",90480,,,90480
st_distancesphere,"{geom1,geom2}",701,,,701
st_distance_sphere,"{geom1,geom2}",701,,,701
postgis_type_name,"{geomname,coord_dimension,use_new_name}",1043,,,1043
postgis_constraint_srid,"{geomschema,geomtable,geomcolumn}",23,,,23
postgis_constraint_dims,"{geomschema,geomtable,geomcolumn}",23,,,23
postgis_constraint_type,"{geomschema,geomtable,geomcolumn}",1043,,,1043
st_3ddistance,"{geom1,geom2}",701,,,701
st_3dmaxdistance,"{geom1,geom2}",701,,,701
st_3dclosestpoint,"{geom1,geom2}",89860,,,89860
st_3dshortestline,"{geom1,geom2}",89860,,,89860
st_3dlongestline,"{geom1,geom2}",89860,,,89860
_st_3ddwithin,"{geom1,geom2,""}",16,,,16
st_3ddwithin,"{geom1,geom2,""}",16,,,16
_st_3ddfullywithin,"{geom1,geom2,""}",16,,,16
st_3ddfullywithin,"{geom1,geom2,""}",16,,,16
_st_3dintersects,"{geom1,geom2}",16,,,16
st_3dintersects,"{geom1,geom2}",16,,,16
st_coorddim,{geometry},21,,,21
st_curvetoline,,89860,,,89860
st_curvetoline,,89860,,,89860
st_hasarc,{geometry},16,,,16
st_linetocurve,{geometry},89860,,,89860
_st_orderingequals,"{geometrya,geometryb}",16,,,16
st_orderingequals,"{geometrya,geometryb}",16,,,16
st_point,,89860,,,89860
st_polygon,,89860,,,89860
st_wkbtosql,{wkb},89860,,,89860
st_locatebetween,"{geometry,frommeasure,tomeasure,leftrightoffset}",89860,,,89860
st_locatealong,"{geometry,measure,leftrightoffset}",89860,,,89860
st_locatebetweenelevations,"{geometry,fromelevation,toelevation}",89860,,,89860
st_interpolatepoint,"{line,point}",701,,,701
contains_2d,,16,,,16
is_contained_2d,,16,,,16
overlaps_2d,,16,,,16
overlaps_2d,,16,,,16
contains_2d,,16,,,16
is_contained_2d,,16,,,16
contains_2d,,16,,,16
is_contained_2d,,16,,,16
overlaps_2d,,16,,,16
overlaps_nd,,16,,,16
overlaps_nd,,16,,,16
